id_cliente,id_empresa,nome_cliente,segmento,limite_credito,risco_cliente,status,data_cadastro
1,1,Montenegro Pereira S/A,Serviços,58260.21,medio,ativo,2023-01-22
2,1,Silva Rezende e Filhos,Tecnologia,23773.23,baixo,ativo,2021-11-07
3,1,Câmara,Tecnologia,88457.76,medio,ativo,2026-04-30
4,1,Pastor,Serviços,44289.02,medio,ativo,2020-07-24
5,1,Abreu,Tecnologia,62555.85,baixo,ativo,2023-02-13
6,1,Sampaio Lima Ltda.,Varejo,30181.72,medio,ativo,2026-01-18
7,1,Cassiano,Varejo,143749.56,baixo,ativo,2020-05-07
8,1,Teixeira Fernandes S/A,Serviços,11857.21,alto,ativo,2025-04-23
9,1,Garcia S/A,Indústria,27437.16,medio,ativo,2021-11-18
10,1,Ferreira,Serviços,145285.52,baixo,ativo,2023-06-28
11,1,Aparecida,Tecnologia,23338.2,baixo,ativo,2024-06-12
12,1,Nascimento,Serviços,42375.72,alto,ativo,2021-02-21
13,1,Garcia S/A,Atacado,64740.72,medio,ativo,2020-06-17
14,1,Pires,Indústria,75689.14,baixo,ativo,2020-02-21
15,1,Oliveira,Tecnologia,18443.11,medio,ativo,2021-09-18
16,1,Santos Azevedo S/A,Atacado,115393.39,baixo,ativo,2025-06-03
17,1,Vargas da Rocha S/A,Serviços,127345.5,baixo,ativo,2020-12-20
18,1,Brito Garcia Ltda.,Tecnologia,78604.26,baixo,ativo,2023-10-09
19,1,Porto,Indústria,130623.87,baixo,ativo,2023-10-26
20,1,Castro,Atacado,97500.15,baixo,ativo,2022-02-21
21,1,Fogaça,Tecnologia,113609.71,baixo,ativo,2025-07-03
22,1,Rios da Mata e Filhos,Serviços,22241.62,baixo,ativo,2023-06-08
23,1,Pereira e Filhos,Atacado,54277.84,medio,ativo,2023-09-16
24,1,Nascimento Siqueira S.A.,Serviços,78986.88,baixo,ativo,2023-07-16
25,1,Martins Garcia Ltda.,Serviços,89662.32,baixo,ativo,2025-06-06
26,1,Rodrigues Duarte S/A,Varejo,96646.3,baixo,ativo,2022-03-06
27,1,Andrade Dias - ME,Serviços,66914.54,baixo,ativo,2023-01-28
28,1,Azevedo,Tecnologia,27088.38,baixo,ativo,2021-02-24
29,1,Nunes Silva Ltda.,Serviços,47551.76,medio,ativo,2020-07-29
30,1,Rezende Monteiro - ME,Tecnologia,132023.99,baixo,ativo,2020-10-30
31,1,Casa Grande,Indústria,109238.63,baixo,ativo,2020-12-14
32,1,Carvalho,Atacado,32284.29,alto,ativo,2022-07-13
33,1,Souza Novais - EI,Atacado,82680.35,medio,ativo,2024-10-22
34,1,Souza,Serviços,100733.55,baixo,ativo,2022-05-14
35,1,Pacheco,Serviços,30554.37,baixo,ativo,2020-01-11
36,1,Fonseca,Indústria,109618.25,baixo,ativo,2023-03-04
37,1,Carvalho Moraes - ME,Atacado,64990.79,medio,ativo,2022-03-21
38,1,Sá S/A,Serviços,90793.11,baixo,ativo,2020-10-19
39,1,Cassiano e Filhos,Indústria,123041.71,baixo,ativo,2024-12-03
40,1,Vieira Rodrigues - ME,Atacado,109528.14,baixo,ativo,2026-01-20
41,1,Gomes - ME,Indústria,30457.44,baixo,ativo,2022-10-22
42,1,Moura,Atacado,49760.17,baixo,ativo,2020-03-25
43,1,Novaes,Serviços,6810.43,alto,ativo,2025-04-11
